sheet_name,participant_id,version,sentence_id,stimulus,transcription,human_score,auto_score,rationale
23_vA,23,vA,17,Cruza a la derecha y después sigue todo recto (15),Cruza a la derecha y después sigue el derecho,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
23_vA,23,vA,20,El niño al que se le murió el gato está triste (16),El niño que se murió el gato está muyt riste,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=4, overlap=0.75)"
23_vA,23,vA,28,El examen no fue tan difícil como me habían dicho (17),El examen no fue muy difícil como me han dicho,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.60)"
23_vB,23,vB,28,El trabajo no fue tan fácil como me habían dicho. (17),El trabajo no fue muy facil como me han dicho,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.60)"
25_vA,25,vA,1,Quiero cortarme el pelo (7),Quiero cotarme mi pelo,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
25_vA,25,vA,18,Ella ha terminado de pintar su apartamento (15),Ella ha terminado pintado la apartamento,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.67)"
25_vB,25,vB,3,La tarea la tiene Carla. (8),La [ta-] tarea tiene cara,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
25_vB,25,vB,7,Las casas de este país son muy grandes. (11),Las casas en las país son muy grande,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.67)"
25_vB,25,vB,10,Me gusta la comida que es saludable. (12),Me gusta la comida están,1.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.67)"
25_vB,25,vB,13,Quiero un coche en el que quepa mi familia. (14),Quiero un coche en la [xxx] de mi familia,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.75)"
25_vB,25,vB,19,Me gustaría que el semestre terminara pronto. (15),Me gustaría este semestre terminando pronto,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.75)"
27_vA,27,vA,20,El niño al que se le murió el gato está triste (16),El niño al que se murió [esta-] está muy triste,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=4, overlap=0.75)"
27_vB,27,vB,11,La chica con la que yo bailo es chilena. (13),La chica con yo que yo bailo es chiyena,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
27_vB,27,vB,23,"Después de comer, siempre tiene que lavarse los dientes. (16)",Después de comer siempre tienen que lavar sus dientes,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.67)"
27_vB,27,vB,24,La cantidad de personas que votan ha incrementado. (17),Las personas que votan ha incrementado,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.75)"
29_vA,29,vA,25,Después de llegar a casa del trabajo tomé la cena (17),Después de llegar [traba-] del trabajo comí la cena,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.67)"
4_vB,4,vB,12,Antes de correr me comí una manzana. (13),Antes de correr [...] como manzana,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.75)"
5_vA,5,vA,14,A nosotros nos fascinan las fiestas grandiosas (14),A nosotros los fascinan los fiestras grandiosas,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.67)"
5_vA,5,vA,15,Ella sólo bebe cerveza y no come nada (15),[ella sólo-] ella sola beber cerveza y no come nada,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.60)"
5_vA,5,vA,17,Cruza a la derecha y después sigue todo recto (15),Cruza a la derecha y despues sigue derecto,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
5_vA,5,vA,18,Ella ha terminado de pintar su apartamento (15),Ella terminará a pintar su apartamento,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.67)"
5_vA,5,vA,22,El gato que era negro fue perseguido por el perro (16),El gato que era negro fue [pers-] perseguiro del perro,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.75)"
5_vA,5,vA,26,El ladrón al que atrapó la policía era famoso (17),El ladrón a que trope el policía es famoso,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=4, overlap=0.75)"
5_vB,5,vB,17,Cruce la calle y después vaya a la derecha. (15),Cruza la calle y después vaye a la derecha,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.60)"
7_vA,7,vA,7,Las calles de esta ciudad son muy anchas (11),Las calles de esta ciudad [...] están bien anachas,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.67)"
7_vA,7,vA,17,Cruza a la derecha y después sigue todo recto (15),Cruza a la derecha y después siga todo derecho,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
7_vB,7,vB,21,Una amiga mía va a la capital con sus sobrinos. (16),Una amiga [mía-] mío va a la capital con sus amigos,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.60)"
8_vA,8,vA,3,El carro lo tiene Pedro (8),El carro no tiene perro,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
8_vA,8,vA,9,Las casas son muy bonitas pero caras (12),Las casas están muy bonitos pero caras,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
8_vA,8,vA,13,Quiero una casa en la que vivan mis animales (14),Quiero una casa que viven mis animales,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.75)"
8_vA,8,vA,14,A nosotros nos fascinan las fiestas grandiosas (14),A nosotros les gustan las fiestas grandiosas,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
8_vA,8,vA,18,Ella ha terminado de pintar su apartamento (15),Ella acaba de pintar su apartamento,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
8_vB,8,vB,13,Quiero un coche en el que quepa mi familia. (14),Quiero un coche que queda mi familia,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.75)"
8_vB,8,vB,17,Cruce la calle y después vaya a la derecha. (15),Cruza la calle y después ve a la derecha,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.60)"
8_vB,8,vB,18,Él ha empezado a entrenar con sus amigos. (15),él empezó a entrenar con su amigos,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.67)"
8_vB,8,vB,22,La princesa que era muy bonita fue rescatada. (16),La princesa que está muy bonita estaba [xxxxx],2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.67)"
8_vB,8,vB,23,"Después de comer, siempre tiene que lavarse los dientes. (16)",Después de comer siempre se lava los dientes,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.67)"
8_vB,8,vB,26,El jefe al que atacó el empleado era gordo. (17),El jefe que le tocó el empleado está gordo,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=4, overlap=0.75)"
8_vB,8,vB,30,Hay muchas personas que se quedan en casa si nieva mucho. (18),Hay muchas personas que se quedan en coche que [xxxx] mucho,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.67)"
9_vA,9,vA,26,El ladrón al que atrapó la policía era famoso (17),El ladrón a que [...] escapó de la policía era famoso,2.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=3, overlap=0.75)"
9_vB,9,vB,14,A ellos les encantan los libros de romance. (14),A ellos le encantan los libros de romancia,3.0,2,"Ambiguous meaning boundary downgraded to 2 (edit=2, overlap=0.67)"
