participant_id,version,sentence_id,stimulus,transcription,human_score,auto_score,rationale
8,vA,9,Las casas son muy bonitas pero caras (12),Las casas están muy bonitos pero caras,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
8,vA,13,Quiero una casa en la que vivan mis animales (14),Quiero una casa que viven mis animales,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=3, content_overlap=0.75)"
8,vA,14,A nosotros nos fascinan las fiestas grandiosas (14),A nosotros les gustan las fiestas grandiosas,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
8,vA,18,Ella ha terminado de pintar su apartamento (15),Ella acaba de pintar su apartamento,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
8,vA,27,Le pedí a un amigo que me ayudara con la tarea (17),[le pedí-] le pedí un amigo que me ayuda con la tarea,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
8,vB,6,Dudo que sepan hablar Portugués. (10),Dudo que saben cómo hablar portugués,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
8,vB,13,Quiero un coche en el que quepa mi familia. (14),Quiero un coche que queda mi familia,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=3, content_overlap=0.75)"
8,vB,19,Me gustaría que el semestre terminara pronto. (15),Me gustaría que el semestre se acabara pronto,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
8,vB,26,El jefe al que atacó el empleado era gordo. (17),El jefe que le tocó el empleado está gordo,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=4, content_overlap=0.75)"
9,vA,19,Me gustaría que empezara a hacer más calor pronto (15),Me gustaría que [xxx] se haría más calor pronto,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=3, content_overlap=0.75)"
9,vA,26,El ladrón al que atrapó la policía era famoso (17),El ladrón a que [...] escapó de la policía era famoso,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=3, content_overlap=0.75)"
9,vB,6,Dudo que sepan hablar Portugués. (10),[...] dudo que se sepa hablar portugués,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
9,vB,14,A ellos les encantan los libros de romance. (14),A ellos le encantan los libros de romancia,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
10,vA,14,A nosotros nos fascinan las fiestas grandiosas (14),A nosotros nos [fas-] fascina fiestas grandiosas [-grandiosas],3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
10,vA,19,Me gustaría que empezara a hacer más calor pronto (15),Me gustaría que haga calor pronto,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=4, content_overlap=0.75)"
10,vB,23,"Después de comer, siempre tiene que lavarse los dientes. (16)",Después de comer [siempre-] siempre tienes que lavarte los dientes,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
12,vA,1,Quiero cortarme el pelo (7),[Quiero cort-] quiero cortar mi pelo,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
15,vA,17,Cruza a la derecha y después sigue todo recto (15),Cruza a la y luego [sigue-] sigue todo recto,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
16,vA,14,A nosotros nos fascinan las fiestas grandiosas (14),A nosotros los frascinan las fiestas grandiosas,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
16,vB,27,Le pedí a mi hermana que me ayudara en la casa. (17),Le pedí a mi hermana que [m-] me hayudara a limpiar la casa,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=3, content_overlap=0.75)"
17,vB,16,Me gustaría que el hijo de mi tía comiera. (15),Me gustaría [mi] el hijo de mi tía cocine [-comiera],3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
17,vB,26,El jefe al que atacó el empleado era gordo. (17),El jefe que golpeo al empleado era gordo,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=3, content_overlap=0.75)"
18,vA,1,Quiero cortarme el pelo (7),Quiero cortar mi pelo,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
18,vA,24,La cantidad de personas que fuman ha disminuido (17),La cantidad de personas que fuman es [...],2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
18,vB,3,La tarea la tiene Carla. (8),La trarea tiene carla,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
18,vB,5,¿Qué dijo que iba a acabar hoy? (9),Qué dijo acabar hoy,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=3, content_overlap=0.75)"
18,vB,13,Quiero un coche en el que quepa mi familia. (14),Quiero un coche [eh] mi familia,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=4, content_overlap=0.75)"
18,vB,18,Él ha empezado a entrenar con sus amigos. (15),El ha empezado con sus amigos,1.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
19,vA,13,Quiero una casa en la que vivan mis animales (14),Quiero una casa en cual viven mis animales,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=3, content_overlap=0.75)"
19,vA,16,Me gustaría que el precio de las casas bajara (15),Me gustaría si [la-] los precios de las casas bajara,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=3, content_overlap=0.75)"
19,vA,22,El gato que era negro fue perseguido por el perro (16),El gato el que era negro fue percivido por el perro negro,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=3, content_overlap=0.75)"
19,vB,26,El jefe al que atacó el empleado era gordo. (17),El jefe al que atacó el empledo fue gordo,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
20,vA,22,El gato que era negro fue perseguido por el perro (16),El gato que era negro fue perseguidopor el perro,4.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
20,vB,30,Hay muchas personas que se quedan en casa si nieva mucho. (18),Hay personas que se quedan en casa si nueva mucho,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
21,vB,24,La cantidad de personas que votan ha incrementado. (17),La cantidad de personas que votan [xxxxx],2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
22,vB,14,A ellos les encantan los libros de romance. (14),A ellos le encantan los libros  de romancia,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
23,vA,3,El carro lo tiene Pedro (8),El carro no tiene perro,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
23,vA,13,Quiero una casa en la que vivan mis animales (14),Quiero una casa en que viven mis animales,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
23,vA,14,A nosotros nos fascinan las fiestas grandiosas (14),A nosotros les fascinan las fiestas,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
23,vA,17,Cruza a la derecha y después sigue todo recto (15),Cruza a la derecha y después sigue el derecho,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
23,vA,19,Me gustaría que empezara a hacer más calor pronto (15),Me gustaría que hacer más calor muy pronto,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=3, content_overlap=0.75)"
23,vA,20,El niño al que se le murió el gato está triste (16),El niño que se murió el gato está muyt riste,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=4, content_overlap=0.75)"
23,vA,24,La cantidad de personas que fuman ha disminuido (17),El cantidad de personas que fuman ha [xxxx],2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
23,vB,5,¿Qué dijo que iba a acabar hoy? (9),¿Qué dijo va a acabar hoy?,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
25,vA,1,Quiero cortarme el pelo (7),Quiero cotarme mi pelo,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
25,vB,3,La tarea la tiene Carla. (8),La [ta-] tarea tiene cara,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
25,vB,13,Quiero un coche en el que quepa mi familia. (14),Quiero un coche en la [xxx] de mi familia,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=3, content_overlap=0.75)"
25,vB,19,Me gustaría que el semestre terminara pronto. (15),Me gustaría este semestre terminando pronto,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=3, content_overlap=0.75)"
26,vA,13,Quiero una casa en la que vivan mis animales (14),Quiero una casa en las que viven mis animales,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
26,vB,24,La cantidad de personas que votan ha incrementado. (17),La cantidad de personas que han votado ha incrementado,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
27,vA,16,Me gustaría que el precio de las casas bajara (15),Me gustaría que los precios de las casas bajara,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
27,vA,20,El niño al que se le murió el gato está triste (16),El niño al que se murió [esta-] está muy triste,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=4, content_overlap=0.75)"
27,vB,11,La chica con la que yo bailo es chilena. (13),La chica con yo que yo bailo es chiyena,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.67)"
27,vB,24,La cantidad de personas que votan ha incrementado. (17),Las personas que votan ha incrementado,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=3, content_overlap=0.75)"
27,vB,26,El jefe al que atacó el empleado era gordo. (17),[el je-] el jefe que atacó el emplieado era gordo,3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
29,vA,19,Me gustaría que empezara a hacer más calor pronto (15),Me gustaría que hiciera más calor pronto,2.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=3, content_overlap=0.75)"
29,vB,24,La cantidad de personas que votan ha incrementado. (17),La cantidad de personas que votan a incres[xxx] [-agumentado],3.0,2,"Ambiguous meaning-change boundary; downgraded to 2 (edit=2, content_overlap=0.75)"
